size: 32, nvertices: 61578414, nv_per_proc: 1924326
initialize model parameters ...
rank: 13, nr: 11546661, nc: 11332513
rank: 0, nr: 11550889, nc: 11329957
rank: 31, nr: 11549978, nc: 11332771
rank: 30, nr: 11548853, nc: 11331979
rank: 18, nr: 11550342, nc: 11331683
rank: 24, nr: 11551171, nc: 11328363
rank: 4, nr: 11545662, nc: 11336052
rank: 19, nr: 11547779, nc: 11334589
rank: 10, nr: 11548496, nc: 11329504
rank: 27, nr: 11550655, nc: 11330817
rank: 12, nr: 11550711, nc: 11332486
rank: 7, nr: 11552322, nc: 11331403
rank: 23, nr: 11549737, nc: 11327942
rank: 28, nr: 11547810, nc: 11333767
rank: 2, nr: 11549897, nc: 11330679
rank: 17, nr: 11550621, nc: 11330631
rank: 11, nr: 11547556, nc: 11330263
rank: 9, nr: 11549950, nc: 11332715
rank: 16, nr: 11550162, nc: 11333726
rank: 1, nr: 11549259, nc: 11331832
rank: 6, nr: 11550676, nc: 11324383
rank: 3, nr: 11550322, nc: 11332517
rank: 15, nr: 11551298, nc: 11333537
rank: 8, nr: 11550424, nc: 11328913
rank: 14, nr: 11552843, nc: 11332413
rank: 5, nr: 11554246, nc: 11330739
rank: 22, nr: 11549216, nc: 11332747
rank: 26, nr: 11545794, nc: 11328716
rank: 25, nr: 11551030, nc: 11331294
rank: 29, nr: 11553886, nc: 11329406
rank: 20, nr: 11550012, nc: 11332968
rank: 21, nr: 11549788, nc: 11328448
